GeneID	GeneSymbol
43	ACHE
95	ACY1
104	ADARB1
141	ADPRH
142	PARP1
185	AGTR1
196	AHR
199	AIF1
231	AKR1B1
246	ALOX15
247	ALOX15B
249	ALPL
268	AMH
274	BIN1
301	ANXA1
310	ANXA7
317	APAF1
324	APC
355	FAS
375	ARF1
383	ARG1
387	RHOA
388	RHOB
390	RND3
401	PHOX2A
406	ARNTL
429	ASCL1
445	ASS1
463	ZFHX3
467	ATF3
472	ATM
545	ATR
563	AZGP1
580	BARD1
581	BAX
613	BCR
634	CEACAM1
638	BIK
639	PRDM1
641	BLM
650	BMP2
652	BMP4
657	BMPR1A
659	BMPR2
665	BNIP3L
668	FOXL2
672	BRCA1
675	BRCA2
678	ZFP36L2
688	KLF5
695	BTK
822	CAPG
835	CASP2
838	CASP5
841	CASP8
847	CAT
857	CAV1
860	RUNX2
861	RUNX1
863	CBFA2T3
864	RUNX3
867	CBL
889	KRIT1
892	CCNC
920	CD4
960	CD44
999	CDH1
1002	CDH4
1003	CDH5
1009	CDH11
1012	CDH13
1015	CDH17
1017	CDK2
1021	CDK6
1026	CDKN1A
1027	CDKN1B
1028	CDKN1C
1029	CDKN2A
1030	CDKN2B
1031	CDKN2C
1036	CDO1
1045	CDX2
1050	CEBPA
1052	CEBPD
1080	CFTR
1105	CHD1
1111	CHEK1
1147	CHUK
1191	CLU
1264	CNN1
1316	KLF6
1326	MAP3K8
1387	CREBBP
1390	CREM
1437	CSF2
1452	CSNK1A1
1473	CST5
1474	CST6
1490	CTGF
1496	CTNNA2
1500	CTNND1
1523	CUX1
1528	CYB5A
1540	CYLD
1601	DAB2
1602	DACH1
1612	DAPK1
1613	DAPK3
1620	BRINP1
1630	DCC
1634	DCN
1643	DDB2
1647	GADD45A
1654	DDX3X
1672	DEFB1
1676	DFFA
1687	DFNA5
1739	DLG1
1755	DMBT1
1756	DMD
1786	DNMT1
1788	DNMT3A
1789	DNMT3B
1796	DOK1
1801	DPH1
1803	DPP4
1825	DSC3
1832	DSP
1843	DUSP1
1847	DUSP5
1848	DUSP6
1852	DUSP9
1869	E2F1
1870	E2F2
1871	E2F3
1894	ECT2
1910	EDNRB
1915	EEF1A1
1946	EFNA5
1958	EGR1
1959	EGR2
1969	EPHA2
2012	EMP1
2013	EMP2
2034	EPAS1
2035	EPB41
2041	EPHA1
2042	EPHA3
2048	EPHB2
2049	EPHB3
2050	EPHB4
2051	EPHB6
2066	ERBB4
2070	EYA4
2077	ERF
2099	ESR1
2100	ESR2
2103	ESRRB
2114	ETS2
2120	ETV6
2131	EXT1
2132	EXT2
2134	EXTL1
2135	EXTL2
2137	EXTL3
2145	EZH1
2146	EZH2
2170	FABP3
2189	FANCG
2192	FBLN1
2195	FAT1
2203	FBP1
2262	GPC5
2271	FH
2272	FHIT
2273	FHL1
2296	FOXC1
2308	FOXO1
2309	FOXO3
2316	FLNA
2322	FLT3
2395	FXN
2444	FRK
2521	FUS
2587	GALR1
2619	GAS1
2626	GATA4
2633	GBP1
2697	GJA1
2706	GJB2
2719	GPC3
2735	GLI1
2779	GNAT1
2810	SFN
2878	GPX3
2903	GRIN2A
2932	GSK3B
2934	GSN
2950	GSTP1
2952	GSTT1
2972	BRF1
2984	GUCY2C
3014	H2AFX
3065	HDAC1
3090	HIC1
3091	HIF1A
3094	HINT1
3096	HIVEP1
3104	ZBTB48
3164	NR4A1
3169	FOXA1
3170	FOXA2
3172	HNF4A
3175	ONECUT1
3248	HPGD
3273	HRG
3329	HSPD1
3337	DNAJB1
3394	IRF8
3400	ID4
3417	IDH1
3428	IFI16
3479	IGF1
3482	IGF2R
3483	IGFALS
3486	IGFBP3
3487	IGFBP4
3488	IGFBP5
3490	IGFBP7
3579	CXCR2
3605	IL17A
3611	ILK
3621	ING1
3622	ING2
3627	CXCL10
3651	PDX1
3659	IRF1
3661	IRF3
3662	IRF4
3663	IRF5
3678	ITGA5
3679	ITGA7
3685	ITGAV
3688	ITGB1
3690	ITGB3
3728	JUP
3732	CD82
3814	KISS1
3880	KRT19
3963	LGALS7
3977	LIFR
3996	LLGL1
4013	VWA5A
4015	LOX
4033	LRMP
4045	LSAMP
4057	LTF
4082	MARCKS
4087	SMAD2
4089	SMAD4
4118	MAL
4144	MAT2A
4149	MAX
4163	MCC
4216	MAP3K4
4221	MEN1
4292	MLH1
4303	FOXO4
4311	MME
4335	MNT
4436	MSH2
4477	MSMB
4485	MST1
4486	MST1R
4494	MT1F
4495	MT1G
4499	MT1M
4502	MT2A
4507	MTAP
4601	MXI1
4616	GADD45B
4627	MYH9
4640	MYO1A
4683	NBN
4692	NDN
4734	NEDD4
4763	NF1
4771	NF2
4773	NFATC2
4790	NFKB1
4804	NGFR
4814	NINJ1
4824	NKX3-1
4826	NNAT
4830	NME1
4849	CNOT3
4851	NOTCH1
4853	NOTCH2
4854	NOTCH3
4856	NOV
4862	NPAS2
4869	NPM1
4897	NRCAM
4899	NRF1
4916	NTRK3
4920	ROR2
4921	DDR2
4928	NUP98
4978	OPCML
5037	PEBP1
5047	PAEP
5048	PAFAH1B1
5071	PARK2
5074	PAWR
5078	PAX4
5079	PAX5
5080	PAX6
5098	PCDHGC3
5100	PCDH8
5101	PCDH9
5157	PDGFRL
5178	PEG3
5196	PF4
5216	PFN1
5241	PGR
5245	PHB
5268	SERPINB5
5276	SERPINI2
5300	PIN1
5310	PKD1
5316	PKNOX1
5320	PLA2G2A
5325	PLAGL1
5331	PLCB3
5333	PLCD1
5337	PLD1
5347	PLK1
5371	PML
5411	PNN
5414	SEPT4
5465	PPARA
5468	PPARG
5494	PPM1A
5499	PPP1CA
5515	PPP2CA
5516	PPP2CB
5519	PPP2R1B
5522	PPP2R2C
5524	PPP2R4
5527	PPP2R5C
5533	PPP3CC
5562	PRKAA1
5563	PRKAA2
5573	PRKAR1A
5579	PRKCB
5580	PRKCD
5581	PRKCE
5601	MAPK9
5602	MAPK10
5625	PRODH
5629	PROX1
5653	KLK6
5654	HTRA1
5655	KLK10
5727	PTCH1
5728	PTEN
5729	PTGDR
5770	PTPN1
5771	PTPN2
5777	PTPN6
5781	PTPN11
5782	PTPN12
5783	PTPN13
5788	PTPRC
5789	PTPRD
5795	PTPRJ
5796	PTPRK
5887	RAD23B
5889	RAD51C
5906	RAP1A
5909	RAP1GAP
5915	RARB
5920	RARRES3
5925	RB1
5927	KDM5A
5931	RBBP7
5932	RBBP8
5933	RBL1
5934	RBL2
5936	RBM4
5947	RBP1
6041	RNASEL
6050	RNH1
6091	ROBO1
6117	RPA1
6125	RPL5
6134	RPL10
6135	RPL11
6196	RPS6KA2
6273	S100A2
6282	S100A11
6288	SAA1
6294	SAFB
6297	SALL2
6387	CXCL12
6389	SDHA
6390	SDHB
6392	SDHD
6405	SEMA3F
6416	MAP2K4
6422	SFRP1
6423	SFRP2
6424	SFRP4
6425	SFRP5
6477	SIAH1
6498	SKIL
6502	SKP2
6595	SMARCA2
6596	HLTF
6597	SMARCA4
6598	SMARCB1
6599	SMARCC1
6648	SOD2
6656	SOX1
6664	SOX11
6665	SOX15
6672	SP100
6678	SPARC
6688	SPI1
6711	SPTBN1
6764	ST5
6767	ST13
6772	STAT1
6774	STAT3
6776	STAT5A
6793	STK10
6794	STK11
6850	SYK
6876	TAGLN
6898	TAT
6910	TBX5
6924	TCEB3
6925	TCF4
6929	TCF3
6934	TCF7L2
6997	TDGF1
7020	TFAP2A
7040	TGFB1
7044	LEFTY2
7045	TGFBI
7048	TGFBR2
7049	TGFBR3
7053	TGM3
7056	THBD
7057	THBS1
7067	THRA
7068	THRB
7070	THY1
7071	KLF10
7078	TIMP3
7128	TNFAIP3
7157	TP53
7158	TP53BP1
7159	TP53BP2
7161	TP73
7182	NR2C2
7184	HSP90B1
7248	TSC1
7249	TSC2
7251	TSG101
7262	PHLDA2
7268	TTC4
7270	TTF1
7290	HIRA
7345	UCHL1
7403	KDM6A
7405	UVRAG
7421	VDR
7422	VEGFA
7428	VHL
7429	VIL1
7431	VIM
7447	VSNL1
7462	LAT2
7474	WNT5A
7476	WNT7A
7481	WNT11
7490	WT1
7520	XRCC5
7538	ZFP36
7545	ZIC1
7703	PCGF2
7704	ZBTB16
7739	ZNF185
7791	ZYX
7799	PRDM2
7832	BTG2
7869	SEMA3B
7879	RAB7A
7941	PLA2G7
7965	AIMP2
7980	TFPI2
7982	ST7
8013	NR4A3
8031	NCOA4
8065	CUL5
8099	CDK2AP1
8100	IFT88
8125	ANP32A
8190	MIA
8289	ARID1A
8312	AXIN1
8313	AXIN2
8314	BAP1
8379	MAD1L1
8404	SPARCL1
8405	SPOP
8406	SRPX
8431	NR0B2
8434	RECK
8437	RASAL1
8453	CUL2
8454	CUL1
8554	PIAS1
8567	MADD
8572	PDLIM4
8577	TMEFF1
8626	TP63
8633	UNC5C
8635	RNASET2
8643	PTCH2
8650	NUMB
8651	SOCS1
8665	EIF3F
8678	BECN1
8682	PEA15
8711	TNK1
8726	EED
8742	TNFSF12
8744	TNFSF9
8772	FADD
8784	TNFRSF18
8788	DLK1
8795	TNFRSF10B
8797	TNFRSF10A
8805	TRIM24
8821	INPP4B
8838	WISP3
8841	HDAC3
8847	DLEU2
8848	TSC22D1
8854	ALDH1A2
8856	NR1I2
8864	PER2
8870	IER3
8915	BCL10
8930	MBD4
8991	SELENBP1
8994	LIMD1
9021	SOCS3
9025	RNF8
9046	DOK2
9049	AIP
9052	GPRC5A
9076	CLDN1
9077	DIRAS3
9093	DNAJA3
9113	LATS1
9141	PDCD5
9148	NEURL1
9255	AIMP1
9314	KLF4
9318	COPS2
9353	SLIT2
9365	KL
9368	SLC9A3R1
9411	ARHGAP29
9429	ABCG2
9447	AIM2
9455	HOMER2
9462	RASAL2
9486	CHST10
9516	LITAF
9521	EEF1E1
9538	EI24
9547	CXCL14
9590	AKAP12
9636	ISG15
9656	MDC1
9667	SAFB2
9770	RASSF2
9781	RNF144A
9788	MTSS1
9821	RB1CC1
9891	NUAK1
9901	SRGAP3
9937	DCLRE1A
9940	DLEC1
9988	DMTF1
10010	TANK
10018	BCL2L11
10019	SH2B3
10048	RANBP9
10077	TSPAN32
10078	TSSC4
10152	ABI2
10154	PLXNC1
10180	RBM6
10181	RBM5
10206	TRIM13
10210	TOPORS
10217	CTDSPL
10253	SPRY2
10273	STUB1
10277	UBE4B
10301	DLEU1
10320	IKZF1
10335	MRVI1
10370	CITED2
10395	DLC1
10397	NDRG1
10399	GNB2L1
10409	BASP1
10413	YAP1
10424	PGRMC2
10432	RBM14
10472	ZBTB18
10481	HOXB13
10514	MYBBP1A
10524	KAT5
10550	ARL6IP5
10553	HTATIP2
10562	OLFM4
10612	TRIM3
10628	TXNIP
10633	RASL10A
10637	LEFTY1
10641	NPRL2
10653	SPINT2
10664	CTCF
10768	AHCYL1
10769	PLK2
10771	ZMYND11
10788	IQGAP2
10817	FRS3
10904	BLCAP
10912	GADD45G
10950	BTG3
11009	IL24
11010	GLIPR1
11068	CYB561D2
11074	TRIM31
11080	DNAJB4
11083	DIDO1
11095	ADAMTS8
11107	PRDM5
11108	PRDM4
11122	PTPRT
11145	PLA2G16
11178	LZTS1
11184	MAP4K1
11186	RASSF1
11191	PTENP1
11197	WIF1
11200	CHEK2
11219	TREX2
11228	RASSF8
11281	POU6F2
11315	PARK7
11334	TUSC2
11337	GABARAP
22806	IKZF3
22807	IKZF2
22882	ZHX2
22925	PLA2R1
22933	SIRT2
22943	DKK1
22954	TRIM32
23032	USP33
23035	PHLPP2
23036	ZNF292
23047	PDS5B
23087	TRIM35
23095	KIF1B
23136	EPB41L3
23152	CIC
23189	KANK1
23193	GANAB
23221	RHOBTB2
23239	PHLPP1
23261	CAMTA1
23300	ATMIN
23327	NEDD4L
23328	SASH1
23336	SYNM
23347	SMCHD1
23365	ARHGEF12
23376	UFL1
23405	DICER1
23409	SIRT4
23410	SIRT3
23411	SIRT1
23468	CBX5
23512	SUZ12
23513	SCRIB
23541	SEC14L2
23560	GTPBP4
23582	CCNDBP1
23586	DDX58
23604	DAPK2
23612	PHLDA3
23635	SSBP2
23671	TMEFF2
23705	CADM1
25792	CIZ1
25833	POU2F3
25855	BRMS1
25898	RCHY1
25930	PTPN23
26018	LRIG1
26038	CHD5
26047	CNTNAP2
26136	TES
26257	NKX2-8
26260	FBXO25
26298	EHF
26468	LHX6
26471	NUPR1
26512	INTS6
26524	LATS2
26585	GREM1
26608	TBL2
26799	SNORD50A
26959	HBP1
27022	FOXD3
27030	MLH3
27075	TSPAN13
27086	FOXP1
27113	BBC3
27122	DKK3
27129	HSPB7
27132	CPNE7
27165	GLS2
27173	SLC39A1
27232	GNMT
27250	PDCD4
27253	PCDH17
27302	BMP10
27303	RBMS3
27316	RBMX
27330	RPS6KA6
27429	HTRA2
28996	HIPK2
29072	SETD2
29108	PYCARD
29117	BRD7
29119	CTNNA3
29760	BLNK
29914	UBIAD1
29948	OSGIN1
29959	NRBP1
29997	GLTSCR2
29998	GLTSCR1
30845	EHD3
49860	CRNN
50486	G0S2
50514	Dec-01
50943	FOXP3
51100	SH3GLB1
51129	ANGPTL4
51147	ING4
51177	PLEKHO1
51196	PLCE1
51201	ZDHHC2
51237	MZB1
51247	PAIP2
51330	TNFRSF12A
51339	DACT1
51343	FZR1
51364	ZMYND10
51406	NOL7
51473	DCDC2
51474	LIMA1
51523	CXXC5
51548	SIRT6
51684	SUFU
51696	HECA
51700	CYB5R2
51720	UIMC1
51741	WWOX
51780	KDM3B
53353	LRP1B
54206	ERRFI1
54556	ING3
54583	EGLN1
54739	XAF1
54756	IL17RD
54766	BTG4
54778	RNF111
54790	TET2
54802	TRIT1
54845	ESRP1
54904	WHSC1L1
54971	BANP
54979	HRASLS2
54984	PINX1
55124	PIWIL2
55164	SHQ1
55193	PBRM1
55223	TRIM62
55233	MOB1A
55259	CASC1
55275	VPS53
55294	FBXW7
55384	MEG3
55450	CAMK2N1
55544	RBM38
55591	VEZT
55615	PRR5
55630	SLC39A4
55654	TMEM127
55717	WDR11
55735	DNAJC11
55743	CHFR
55748	CNDP2
55749	CCAR1
55799	CACNA2D3
55818	KDM3A
55840	EAF2
55901	THSD1
55966	AJAP1
56287	GKN1
56475	RPRM
56616	DIABLO
56666	PANX2
